date;route_from;route_to;start_at;arrived_at;duration_in_m;is_rush_hour;weather_conditions;seasonal_happening;traffic_density
01.05.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:06;13:49;43;False;3;0;3
14.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:51;12:19;111;True;1;0;3
06.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:11;13:59;48;False;4;1;3
10.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:17;14:56;53;False;1;0;3
24.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:12;16:57;58;False;2;0;3
12.10.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:30;15:13;43;False;4;0;3
07.09.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:13;15:01;48;False;4;1;2
13.04.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:32;16:59;85;False;2;1;1
16.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:15;16:54;56;False;2;1;3
14.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:47;15:16;47;False;2;0;2
20.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:24;16:05;165;True;1;0;1
12.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:23;17:43;111;False;2;1;1
20.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:44;19:01;75;True;2;1;2
22.01.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:31;12:08;53;False;2;0;3
24.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:32;15:18;46;False;3;1;2
19.10.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:54;14:36;54;False;2;1;2
28.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:52;14:16;96;False;4;1;1
03.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:07;13:52;45;False;3;1;3
06.12.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:35;12:20;45;False;4;1;3
04.08.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:31;11:42;136;False;1;1;1
21.11.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:52;09:28;96;True;4;0;3
02.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:43;14:30;47;False;3;1;2
24.11.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:36;17:15;52;False;1;0;2
17.01.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:38;13:23;45;False;4;1;2
05.10.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:43;13:52;102;True;2;1;1
06.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:07;11:52;45;False;4;0;3
16.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:19;15:01;42;False;3;1;3
05.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:41;20:43;125;True;2;1;2
30.01.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:42;15:40;132;False;3;1;1
05.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:43;07:31;48;False;3;0;2
20.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:55;18:41;125;False;1;0;1
07.06.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:35;11:50;140;False;1;0;1
09.08.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:13;13:52;56;False;1;1;3
05.04.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:43;14:34;63;False;2;1;3
12.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:01;13:44;43;False;4;0;2
19.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:36;12:11;82;True;1;0;3
23.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:12;17:16;106;False;2;1;1
15.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:52;10:41;89;True;2;0;2
20.09.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:09;16:22;171;True;2;0;1
09.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:54;21:07;171;True;3;0;1
14.04.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:50;17:51;77;False;3;1;1
17.08.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:21;07:58;51;False;1;1;3
31.08.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:21;14:01;55;False;1;1;2
29.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:45;13:22;112;False;4;1;1
07.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:42;17:50;68;True;3;0;3
08.09.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:44;12:30;120;True;2;1;3
22.11.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:23;13:04;54;False;1;1;2
09.09.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:38;19:35;96;True;2;1;2
09.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:55;16:45;128;False;4;0;1
03.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:43;15:06;85;False;2;1;1
25.03.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:14;13:52;54;False;2;1;3
29.09.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:43;15:44;133;False;4;1;1
26.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:33;11:43;69;True;1;0;2
26.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:44;18:25;93;False;2;1;1
30.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:30;23:33;169;True;1;1;1
19.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:28;11:46;103;True;2;0;3
06.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:47;17:19;50;False;1;1;3
13.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:02;11:44;42;False;3;0;3
18.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:15;12:59;44;False;3;0;2
27.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:21;17:48;87;True;3;0;2
25.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:15;13:57;42;False;3;1;2
14.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:25;11:23;123;True;1;1;3
06.09.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:50;15:37;47;False;3;1;3
17.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:58;13:42;59;False;2;1;3
19.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:07;18:22;141;False;2;1;1
09.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:58;16:33;90;False;2;0;1
06.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:23;17:35;72;True;4;1;2
12.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:16;15:36;94;False;4;1;1
27.06.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:48;09:33;55;True;1;0;3
22.08.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:44;13:10;106;True;2;0;2
15.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:02;13:46;44;False;4;1;3
14.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:04;14:50;59;False;2;0;3
27.09.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:30;09:50;80;True;4;1;2
23.06.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:20;16:28;110;False;1;1;1
27.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:35;16:02;153;True;1;1;1
14.09.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:51;09:48;57;True;3;0;3
31.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:52;10:51;119;True;3;1;2
11.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:28;09:24;56;True;4;0;3
26.08.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:50;16:43;101;False;1;0;1
04.10.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:11;14:34;111;False;2;0;1
10.04.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:34;14:16;42;False;3;1;3
03.11.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:41;13:23;57;False;2;1;2
27.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:10;14:55;45;False;4;0;3
21.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:37;18:25;121;False;4;1;1
14.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:39;16:25;46;False;3;1;2
18.03.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:12;13:58;114;True;2;1;1
09.04.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:52;17:58;194;True;1;0;1
26.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:12;12:59;59;False;2;1;3
12.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:31;14:00;165;True;4;0;1
07.07.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:20;15:18;100;False;1;1;1
17.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:00;23:18;182;True;1;0;1
31.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:31;14:14;43;False;3;0;3
22.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:10;13:32;155;True;2;0;1
26.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:21;11:05;44;False;3;1;3
12.07.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:42;09:33;125;False;4;0;1
30.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:41;08:25;59;False;2;1;2
23.08.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:55;16:27;146;False;2;1;1
17.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:04;14:44;54;False;2;0;3
27.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:04;13:50;58;False;1;1;3
05.06.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:07;11:53;46;False;4;0;2
16.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:05;13:32;105;False;4;1;1
22.03.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:22;16:04;42;False;4;0;3
06.07.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:41;16:24;43;False;4;1;3
29.06.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:03;06:45;42;False;3;1;3
03.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:55;16:38;43;False;3;1;2
26.07.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:27;23:19;172;True;1;0;1
08.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:54;08:37;58;False;1;1;2
17.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:41;14:51;88;False;4;1;1
01.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:04;10:57;113;True;3;1;3
07.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:28;08:08;54;False;2;0;2
08.07.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:30;18:24;61;True;2;0;2
04.04.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:34;10:03;89;True;4;0;3
20.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:40;08:14;52;False;1;0;2
27.07.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:31;08:20;62;False;1;0;3
23.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:33;14:10;55;False;1;0;2
06.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:02;14:48;60;False;1;0;2
14.07.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:27;18:14;120;False;3;0;1
15.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:45;16:19;52;False;2;0;2
27.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:15;12:51;52;False;2;1;3
26.02.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:51;12:12;74;True;1;0;2
14.08.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:11;12:28;156;True;3;0;1
16.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:10;15:40;115;False;2;0;1
13.04.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:37;15:20;43;False;4;0;3
04.11.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:16;15:48;49;False;1;1;2
21.11.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:38;12:21;55;False;1;1;3
31.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;15:30;17:13;58;False;2;0;2
29.04.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:54;20:56;139;True;3;1;1
19.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:09;18:49;120;False;1;1;1
14.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:58;14:46;60;False;2;1;3
08.12.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:47;20:36;117;True;1;0;3
30.10.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:02;12:48;119;False;3;1;1
25.11.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:49;07:35;46;False;4;0;3
30.01.2024;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:59;11:44;45;False;3;1;2
26.05.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:34;17:05;187;True;1;1;1
25.05.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:16;15:42;175;True;1;1;1
13.09.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:46;13:33;47;False;4;1;3
14.02.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:10;17:59;131;False;1;1;1
31.03.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:50;21:56;197;True;4;0;1
15.08.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:29;15:49;112;False;2;0;1
18.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:13;06:57;44;False;4;1;3
22.09.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;14:40;15:23;43;False;3;1;2
17.08.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:14;10:23;132;True;3;1;1
09.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;10:18;11:00;42;False;3;1;2
28.02.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;12:59;15:08;86;False;4;1;1
09.08.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:24;07:07;43;False;3;1;3
07.04.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;07:05;08:17;72;True;4;1;3
06.01.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;08:55;10:01;66;True;4;1;2
24.01.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:17;14:01;44;False;4;0;3
26.09.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;13:50;18:06;109;False;1;0;1
09.03.2023;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;06:07;09:00;129;False;4;1;1
03.03.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;11:27;12:12;45;False;4;0;3
25.04.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;09:23;15:16;142;True;1;0;1
02.11.2022;Dufourstrasse 8, CH-5000 Aarau;ACME Clinic, Seidenhofstrasse 10, CH-6003 Luzern;16:14;18:13;119;True;3;1;3
